index,split
1,train
2,train
4,train
5,train
7,train
9,train
10,train
14,train
15,train
16,train
20,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
42,train
44,train
45,train
46,train
48,train
49,train
57,train
58,train
59,train
61,train
62,train
64,train
66,train
68,train
70,train
72,train
74,train
76,train
78,train
80,train
81,train
82,train
84,train
85,train
87,train
93,train
94,train
95,train
96,train
100,train
102,train
103,train
108,train
114,train
115,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
128,train
151,train
152,train
153,train
154,train
155,train
162,train
164,train
166,train
167,train
185,train
193,train
194,train
195,train
196,train
197,train
199,train
200,train
201,train
202,train
204,train
206,train
210,train
212,train
213,train
214,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,train
261,train
262,train
267,train
269,train
271,train
274,train
275,train
276,train
277,train
278,train
280,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
293,train
295,train
296,train
297,train
298,train
299,train
300,train
301,train
303,train
304,train
307,train
311,train
312,train
313,train
314,train
321,train
322,train
327,train
328,train
330,train
331,train
332,train
333,train
334,train
336,train
340,train
342,train
344,train
345,train
346,train
347,train
348,train
349,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,train
366,train
367,train
368,train
369,train
371,train
374,train
375,train
377,train
378,train
380,train
382,train
383,train
384,train
385,train
387,train
388,train
389,train
390,train
392,train
393,train
414,train
415,train
421,train
422,train
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,train
447,train
448,train
457,train
461,train
463,train
465,train
467,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
490,train
492,train
494,train
496,train
497,train
