index,split
53035,train
108625,train
211586,train
204859,train
139133,train
50025,train
189569,train
164470,train
210857,train
156017,train
199853,train
69041,train
109376,train
189916,train
67812,train
33042,train
72816,train
202483,train
55846,train
118224,train
191771,train
96840,train
74403,train
146352,train
8801,train
218887,train
197263,train
219921,train
126665,train
7011,train
184184,train
4082,train
178117,train
93998,train
192916,train
102203,train
52613,train
114,train
217586,train
117507,train
190756,train
63150,train
102542,train
60802,train
131029,train
9405,train
112464,train
205903,train
194632,train
104552,train
19096,train
220777,train
165715,train
149410,train
125797,train
116100,train
35318,train
171220,train
190686,train
177724,train
71652,train
209836,train
16240,train
200306,train
129370,train
156299,train
79895,train
15328,train
204392,train
29286,train
36370,train
162644,train
7657,train
201242,train
11649,train
196848,train
80036,train
34167,train
77138,train
195911,train
86736,train
42183,train
203644,train
131978,train
8008,train
125913,train
115090,train
92069,train
82410,train
150260,train
220249,train
30078,train
185735,train
202882,train
22939,train
171063,train
217209,train
200844,train
45402,train
91160,train
97774,train
160604,train
209399,train
195124,train
211791,train
186372,train
173310,train
78712,train
223061,train
25452,train
221914,train
217267,train
94042,train
89367,train
98214,train
82976,train
198149,train
192185,train
30077,train
138681,train
267,train
221819,train
131746,train
59874,train
82979,train
127165,train
204258,train
210938,train
196961,train
209253,train
187223,train
190613,train
196824,train
125210,train
217645,train
100565,train
126282,train
189786,train
221906,train
132585,train
98275,train
190303,train
56464,train
204144,train
223217,train
164086,train
194057,train
134930,train
192505,train
208610,train
143959,train
220973,train
144364,train
190754,train
101225,train
46034,train
201398,train
7314,train
79328,train
87522,train
114543,train
161780,train
148616,train
62194,train
45819,train
80206,train
223310,train
171976,train
36360,train
199370,train
150240,train
190541,train
8154,train
84993,train
160174,train
36051,train
166637,train
219739,train
154755,train
105489,train
50060,train
137058,train
142419,train
15692,train
47465,train
217850,train
114152,train
146261,train
181935,train
141266,train
222006,train
105666,train
99369,train
28347,train
162962,train
217774,train
183163,train
142483,train
186521,train
208606,train
219918,train
113885,train
154629,train
57857,train
4884,train
110580,train
207069,train
24248,train
12771,train
210319,train
217644,train
204913,train
89496,train
199688,train
106376,train
196650,train
80182,train
210181,train
125336,train
92464,train
28612,train
116010,train
153260,train
167728,train
203734,train
78873,train
18566,train
168342,train
159428,train
14804,train
181512,train
177726,train
193028,train
200870,train
69030,train
197091,train
90525,train
93862,train
144529,train
198066,train
190304,train
27206,train
71108,train
98131,train
222231,train
221031,train
112609,train
202698,train
70977,train
104657,train
30912,train
207619,train
170627,train
221535,train
209515,train
114527,train
107718,train
56618,train
215536,train
128658,train
9178,train
196409,train
94791,train
103471,train
117570,train
112796,train
10787,train
85991,train
211235,train
206530,train
179339,train
56994,train
98514,train
134467,train
196204,train
173810,train
181932,train
190529,train
197090,train
182252,train
60541,train
144918,train
126445,train
135663,train
118719,train
204366,train
204422,train
125211,train
216014,train
148125,train
195082,train
55006,train
42424,train
213040,train
135070,train
104848,train
57087,train
91529,train
35250,train
165157,train
2323,train
151654,train
204790,train
92256,train
187734,train
150787,train
28201,train
139833,train
173336,train
69348,train
25564,train
109816,train
28180,train
197329,train
86206,train
184642,train
70859,train
163178,train
205266,train
89890,train
8842,train
111412,train
194135,train
153506,train
216978,train
221476,train
222393,train
212290,train
173618,train
54059,train
60235,train
188469,train
42202,train
6146,train
222394,train
202402,train
200674,train
150429,train
175783,train
141690,train
108035,train
175133,train
496,train
134238,train
161356,train
22358,train
69621,train
167886,train
63258,train
192932,train
113317,train
29829,train
172282,train
18154,train
206245,train
127063,train
186049,train
218876,train
161883,train
3853,train
207987,train
80987,train
118680,train
214161,train
27733,train
195180,train
210294,train
109569,train
9545,train
172532,train
188700,train
177716,train
121475,train
46546,train
48759,train
115585,train
7316,train
212223,train
8250,train
22819,train
71332,train
206138,train
175864,train
96214,train
185507,train
89999,train
169369,train
201901,train
121414,train
131651,train
186523,train
203585,train
197276,train
22777,train
30257,train
75555,train
134890,train
180234,train
162782,train
42569,train
21573,train
92605,train
184595,train
176199,train
89170,train
155243,train
202662,train
137672,train
161330,train
90610,train
60406,train
192472,train
52221,train
26986,train
8007,train
218824,train
84649,train
23801,train
159983,train
35947,train
109474,train
61905,train
190111,train
112716,train
91945,train
207514,train
177850,train
182519,train
203074,train
105835,train
186110,train
30102,train
23791,train
109139,train
63721,train
132252,train
185153,train
169956,train
164064,train
167811,train
92039,train
16832,train
212579,train
209527,train
37204,train
45179,train
219717,train
210924,train
18407,train
162305,train
187851,train
72058,train
206842,train
195879,train
209219,train
57312,train
113553,train
205147,train
71449,train
62564,train
153384,train
219381,train
205145,train
55701,train
115145,train
203160,train
128450,train
158428,train
7734,train
29093,train
58559,train
20508,train
75105,train
94545,train
177271,train
105815,train
197710,train
2201,train
193850,train
169255,train
16242,train
65919,train
169257,train
92534,train
47345,train
87100,train
35351,train
193021,train
96800,train
35181,train
108234,train
197659,train
30524,train
191063,train
28321,train
69070,train
209997,train
170762,train
69627,train
58449,train
64818,train
172739,train
185773,train
31495,train
52639,train
213764,train
120740,train
74265,train
215600,train
22705,train
215113,train
199435,train
216330,train
221034,train
20022,train
166614,train
214283,train
128391,train
201214,train
90918,train
24301,train
124620,train
166733,train
45268,train
30738,train
207123,train
27700,train
219915,train
114275,train
100724,train
77530,train
84136,train
6010,train
107470,train
140930,train
166710,train
122231,train
181316,train
102260,train
62152,train
159329,train
120606,train
2196,train
220378,train
207144,train
22821,train
26901,train
126403,train
220958,train
86655,train
217803,train
52660,train
209900,train
42159,train
59366,train
213172,train
23836,train
62425,train
192793,train
218560,train
160041,train
156263,train
154572,train
208388,train
140487,train
49572,train
151520,train
143000,train
12550,train
188802,train
182819,train
78963,train
173189,train
181518,train
79403,train
162179,train
202661,train
161439,train
196408,train
187270,train
114985,train
186628,train
96860,train
82161,train
163340,train
155082,train
128791,train
186958,train
222630,train
42697,train
3273,train
221220,train
48680,train
165938,train
61904,train
172848,train
110357,train
33924,train
7035,train
167513,train
171892,train
210175,train
156499,train
209870,train
104921,train
92593,train
182790,train
154444,train
192827,train
166555,train
53107,train
24251,train
83534,train
106360,train
52994,train
52457,train
209231,train
49847,train
183109,train
71355,train
146912,train
202870,train
2330,train
214586,train
209175,train
40302,train
30189,train
70075,train
159968,train
193922,train
9674,train
210925,train
144962,train
196476,train
200917,train
130009,train
6087,train
124846,train
189018,train
216061,train
222508,train
208529,train
181387,train
98517,train
13306,train
134437,train
196783,train
22981,train
187810,train
26113,train
47714,train
190716,train
157206,train
37671,train
220145,train
222576,train
49398,train
31858,train
201222,train
115116,train
131178,train
49848,train
219592,train
198286,train
165820,train
71354,train
180936,train
7921,train
2198,train
164282,train
46513,train
98222,train
185562,train
126206,train
168852,train
200708,train
44168,train
47991,train
37421,train
43225,train
30092,train
43862,train
64223,train
155678,train
130050,train
195608,train
177715,train
79195,train
159190,train
133581,train
71072,train
21407,train
80571,train
107508,train
75096,train
89106,train
182000,train
104547,train
131878,train
77099,train
15876,train
208622,train
47523,train
138929,train
48763,train
56979,train
94734,train
46120,train
25157,train
197285,train
200650,train
161841,train
10444,train
100932,train
158785,train
185324,train
93338,train
23794,train
75919,train
165939,train
3918,train
114591,train
216644,train
29925,train
104110,train
62721,train
128975,train
60099,train
213830,train
181666,train
126858,train
135819,train
194810,train
131791,train
95895,train
183164,train
163678,train
181552,train
135665,train
75110,train
198831,train
175602,train
193330,train
37999,train
13095,train
42089,train
2321,train
212745,train
128866,train
178994,train
20707,train
32784,train
151202,train
147998,train
139871,train
197366,train
106396,train
23653,train
33604,train
158117,train
165155,train
195695,train
202584,train
79413,train
143092,train
222642,train
211839,train
67058,train
59217,train
191337,train
72226,train
111293,train
187222,train
192806,train
30890,train
42264,train
25482,train
3947,train
184594,train
186698,train
162295,train
187837,train
101814,train
127573,train
188960,train
50062,train
219387,train
53105,train
18366,train
120423,train
13975,train
218896,train
207351,train
101075,train
108126,train
106645,train
157042,train
207798,train
210844,train
191621,train
9829,train
75701,train
121511,train
173595,train
165338,train
60339,train
133665,train
53634,train
134671,train
33407,train
61749,train
61598,train
22774,train
121180,train
40565,train
90930,train
151674,train
198421,train
150725,train
79539,train
7005,train
35703,train
166370,train
34668,train
24209,train
147636,train
177827,train
115573,train
30188,train
187014,train
221665,train
37035,train
208017,train
70978,train
69610,train
204443,train
124985,train
197708,train
86442,train
51845,train
98186,train
178781,train
219787,train
15514,train
29271,train
170251,train
176978,train
218184,train
18476,train
160940,train
44341,train
175566,train
207040,train
96891,train
215592,train
36147,train
162426,train
99499,train
152596,train
36020,train
34977,train
17488,train
184916,train
141996,train
188919,train
143254,train
151517,train
25832,train
175601,train
17170,train
24534,train
