index,split
89365,train
124958,train
94509,train
112683,train
8027,train
214011,train
221189,train
96864,train
42464,train
47719,train
196408,train
220161,train
156616,train
222470,train
117386,train
163083,train
160059,train
97819,train
13893,train
211708,train
34884,train
39057,train
94391,train
152440,train
173810,train
138148,train
192517,train
216098,train
1595,train
209784,train
179540,train
210267,train
136989,train
221644,train
10169,train
42178,train
141991,train
47501,train
80033,train
182203,train
220671,train
34168,train
155792,train
74397,train
172771,train
207123,train
111682,train
220116,train
206896,train
221746,train
177849,train
69739,train
217984,train
184837,train
213177,train
37829,train
209995,train
116783,train
193736,train
207514,train
15445,train
16125,train
52993,train
214298,train
212371,train
64336,train
221089,train
223202,train
152393,train
28156,train
211532,train
86565,train
13077,train
130718,train
187971,train
154129,train
222392,train
75567,train
47495,train
200248,train
10357,train
159584,train
210935,train
129370,train
131978,train
59528,train
216208,train
201110,train
220144,train
178041,train
217265,train
200281,train
47656,train
124598,train
119329,train
39186,train
40621,train
30582,train
101800,train
202698,train
56055,train
167805,train
100307,train
3210,train
204505,train
216644,train
127131,train
156506,train
127950,train
78938,train
144528,train
98214,train
51975,train
213172,train
104085,train
95126,train
135071,train
77234,train
193328,train
1364,train
126206,train
77119,train
131746,train
214794,train
192854,train
67708,train
736,train
199686,train
208150,train
184652,train
86148,train
63120,train
217441,train
198655,train
29923,train
219807,train
119267,train
222880,train
219401,train
7565,train
194833,train
152485,train
142614,train
117507,train
162462,train
65274,train
199189,train
96203,train
201593,train
36962,train
116784,train
195398,train
51548,train
136252,train
206138,train
216091,train
27620,train
67088,train
18622,train
208163,train
181644,train
217788,train
205397,train
77162,train
61834,train
168051,train
10278,train
115906,train
122682,train
212491,train
211372,train
207952,train
112796,train
27293,train
22834,train
184593,train
3874,train
180532,train
143894,train
25928,train
139004,train
60317,train
204039,train
219592,train
212446,train
98185,train
189984,train
211401,train
33159,train
223140,train
15328,train
163176,train
216298,train
127415,train
9672,train
51177,train
116452,train
49219,train
210273,train
82158,train
67811,train
150087,train
30753,train
4489,train
205898,train
221760,train
121623,train
91433,train
177711,train
20705,train
12083,train
210187,train
13084,train
113803,train
45320,train
105422,train
216113,train
217661,train
122333,train
222498,train
49847,train
222048,train
102202,train
45334,train
165841,train
197263,train
102918,train
172743,train
85532,train
152676,train
216731,train
132589,train
178211,train
4931,train
34960,train
184964,train
16770,train
180540,train
211321,train
192755,train
197693,train
140051,train
75807,train
200275,train
123471,train
203691,train
3521,train
95016,train
204071,train
89493,train
30211,train
219422,train
141215,train
204765,train
215977,train
135762,train
205619,train
221410,train
161763,train
212165,train
167941,train
214373,train
52633,train
96271,train
122603,train
89999,train
197253,train
42789,train
90152,train
207856,train
154137,train
208714,train
101203,train
4789,train
14596,train
222077,train
132696,train
24486,train
37348,train
38202,train
217408,train
25481,train
53721,train
221509,train
222590,train
181352,train
63043,train
140549,train
82973,train
18115,train
130050,train
36233,train
7994,train
86193,train
187097,train
195141,train
83575,train
220411,train
116727,train
103776,train
217209,train
160697,train
174643,train
69843,train
37031,train
169626,train
175570,train
166137,train
75106,train
179321,train
43056,train
16999,train
220407,train
11173,train
123905,train
100770,train
91910,train
11546,train
127473,train
43223,train
180004,train
217404,train
